Address,Amount (HSK)
0x586562A39F3fe2050a0ae05F1148E348E52EaA5D,873872.35183843
0x5C298B5E1aD2b29b0091B2A00028B9f7437d68d8,543805.35492762
0x4A37C4548abbDaCb255CD9Fd7510E2Bb3fd308b9,211188.0
0xFd740765dC07994556E36d12cF9C2A19d00D49Cf,166142.08227968
0x57438478fCc245514dAD5d365f3c28001Eb60e5e,102358.40809042
0x3537d2330ced1624d3832cbA25dE16e9BD718507,65200.0
0xac5518Fe90C9E9324A18B134bE10BAB6B853cc9C,57800.0
0xA7E9d9507F26BD9099AeFb90da7738Ac041eD23A,50625.80950404
0xa3892bf921a5DE3Aac88f470C7C08aa613DB1fC7,50000.0
0x012eE62DA702761770A60c370f3d1Ef5eCa55b54,49999.999
0x63C059a07A202527cCa32651d56A4bEa09fD3337,41321.09650635
0xc4615252B5C7A92e09E842F1e96280841A84CF01,39325.0
0x1A136064F635A97F420A605cbbb2E05bE1F4Feed,38057.90039958
0x4ECF467Ad0552b77fEa25ca1aa34c2bA97F2aEE2,36696.7839225
0x4c5EEFAa0ad991cc782274950BE01478FF11072A,35850.29396381
0x3Ac343D3F5702798998fda516C5c683102032693,35718.0
0x7Cdd0F370D4d5632b81F91a5ecDd9e41f628dC7A,31146.0
0xff0DD55059Fe9669c3dccA5652Ae8ce9cA2153CC,26749.54225918
0x706c4B707b669b5e8B513762cF675087E9795d37,26078.94557595
0x8e222422dcfde0cc9d6BD64ab3DC6eE46Fe00683,25009.79899397
0x83D7614ccf3cfc56b0B01ac7327f4a531fA5Fae9,25000.0
0xe3bAC9461fF7F0CbcCC0228910352e7072E1291F,23490.0
0x6847dc0D1cAe6Db1E000Ee4f75dBd89d17671102,22787.54181237
0x96C0ac2Bfc846Cd3Edf6cD63cC4EEc31aDF56836,22760.0
0x0C3Bc221821F59F279C5EdB476a5D000CD6D4559,22146.0
0x7a6133f2E5ee11CaE6fABc45E295795Fc4A71b48,17520.0
0x01CaAB68E316f2824EeDD4727A2b2Ef07C4e8b4B,16799.0
0xfbb564cA23E9f064aB4b68A48621cC13EdbCC61d,16697.94450882
0xd06e2E7Cd73e9Fca849e451b624ff16244909559,15415.0
0xB59F836acEc6Df88e96BAA28da114b4809a4CCa4,14411.99140622
0x5361ea62F91bFBEcF903e46e7171B15bA705e7a4,14210.37826189
0xCfBf900CaC8A66D8eb6Cd8CD3128156E0DD7428f,11000.0
0x6c04E14ff83300a6cc39C0A532C4B7379A2c0e36,10355.0
0xEF677aa8E0B1D30307c5EB7645531Bd8348F7194,10324.82358541
0x1c33768f406C6c93a6C502cF4A7423FaEe7cBED7,10250.0
0x4530898Fa786dE2873209EEEf6fcbcc71552db52,10242.0
0x55d50D9ee3F21fC908247a42543Ef5cEC76A6a41,10228.899
0x0Dc55a18C7Eb42a3a089753bdCF57A24bDeAEa81,10191.39899776
0x4365FA698C344bF02916F5850b9460c073006dF7,10099.0
0xDA45608471eFa248041Ec60f2Bf3eB43c5d2c843,10009.0
0x4346b4861a8F3C4cdA2b352a9EFB9FE6bA8fe15D,9985.555
0x262284477D75068B32780970f3a4FE2e252AAFD3,8450.0
0x56f366602E757e7A5c81Dea40826b3eB308cE4d2,8300.0
0x551F1Fa07c2074DBA27cac3337F07993a12bCfc5,5428.0
0xe3122B11630e18F361F8D87Af49a02349975B338,5100.0
0xC05079E4a384b51Df73f2B632D81a92282d4125E,4999.6670003
0xDf76aCe5A53E49A115569940474909012d2f2686,4999.20201382
0xF7E12fe49D1a348c0203Eb176470BA06C7ed9b29,4458.04971479
0xAC3d733e66AEB39B75C601fb89564a3C31bF7d83,4372.55957793
0x6C79d121f04702b712451E68258368a1FE1b8C92,4001.0
0x5405ef99d6e27eec4672B61D7f91Fb90da9079ED,4000.0
0x21df82C67F5c0CE4C5B58Fe9b39ED96459849B5a,3791.66224541
0x73D1B4B61B7f556d3C2E52b267351C73d884C398,3790.41143581
0x4828C8d894d6D560e8332c687Fadd41B7d6c0bD1,3393.61423006
0x3d4E79Ba634ADE14cBB231b2130cba15209b1A66,2993.0
0x4aF313aA136bD626De91e5Dd24DE0C907E82505C,2680.0
